NO.,CUSTOMER,PROJECT NAME,MATERIAL / JASA,NO. PO,NO. INVOICE,TGL INVOICE, PROJECT PRICE ,%, RP , PPN , PPH , TOTAL PRICE ,KET,LUNAS/BLM,,
327,MANDALA UTAMA (AGUS),CHAIN GRATE 160X6,MATERIAL,064/MU-TECHNIK/070819,ZSBI-INV/19/VIII/1573,07-Aug-19,"20,736,000",100%,"20,736,000","2,073,600",,"22,809,600",INV 07/08/2019,LUNAS 03/10/2019,,
328,PT. MITRA KARYA TEXINDO,LONG AS D18 X L2400,MATERIAL,7685 B,ZSBI-INV/19/VIII/1574,08-Aug-19,"18,960,000",100%,"18,960,000","1,896,000",,"20,856,000",INV 08/08/2019,LUNAS BCA 09/8/2019,,
329,JIALE INDONESIA TEXTILE,STEAM BOILER 10T/H REPAIRE (MATERIAL),MATERIAL,-,ZSBI-INV/19/VIII/1575,14-Aug-19,"83,415,000",40%,"33,366,000","3,336,600",,"36,702,600",INV 14/8/2019,LUNAS BCA  15/8/2019 BAYAR PPN 12/12/2019,,
,,,,,ZSBI-INV/19/IX/1589,02-Sep-19,,60%,"50,049,000","5,004,900",,"55,053,900",INV 02/09/2019,LUNAS BCA 24/10/2019,,
330,JIALE INDONESIA TEXTILE,STEAM BOILER 10T/H REPAIRE (MAN POWER),JASA,-,ZSBI-INV/19/VIII/1576,14-Aug-19,"30,100,000",40%,"12,040,000","1,204,000",,"13,244,000",INV 14/8/2019,LUNAS BCA  15/8/2019,,
,,,,,ZSBI-INV/19/IX/1588,02-Sep-19,,60%,"18,060,000","1,806,000",,"19,866,000",INV 02/09/2019,LUNAS BCA 24/10/2019,,
331,SEMPANA SARANA TEKNIK,"SAFETY VALVE 1,6 MPA DN 50 PN 65",MATERIAL,057/VIII/SST/19,ZSBI-INV/19/VIII/1577,14-Aug-19,"6,400,000",100%,"6,400,000","640,000",,"7,040,000",INV 14/8/2019,LUNAS BCA 21/8/2019,,
332,SEMPANA SARANA TEKNIK,GLOBE VALVE & BALL VALVE,MATERIAL,-,ZSBI-INV/19/VIII/1578,16-Aug-19,"8,780,000",100%,"8,780,000","878,000",,"9,658,000",INV 16/8/2019,LUNAS BCA 21/8/2019,,
333,ANUGERAH DWI PRATAMA,SHAFT DIA 18MM X 2780M,MATERIAL,125/ADP-PO/8/2019,ZSBI-INV/19/VII/1579,19-Aug-19,"3,822,500",100%,"3,822,500","382,250",,"4,204,750",INV 19/8/2019,LUNAS BCA 08/10/2019,,
335,BATARA ELOK SEMESTA TERPADU,GEAR BOX GRATE SPEED TYPE GL 10P,MATERIAL,OPP-1907-00514,ZSBI-INV/19/VII/1581,21-Aug-19,"32,500,000",100%,"32,500,000",,,"32,500,000",INV 21/08/2019,LUNAS BCA 16/09/2019,,
336,SANTOSO GEMABAHAGIA,SPROCKET D=50MM,MATERIAL,PO/0136/VIII/1582,ZSBI-INV/19/VII/1582,22-Aug-19,"2,960,000",100%,"2,960,000","296,000",,"3,256,000",INV 22/08/2019,LUNAS BCA 11/09/2019,,
337,BROCO AERATED CONCRETE INDUSTRY,"PRESSURE GAUGE WITH TRANSMITTER 0-25 BAR CONNECTION 1/2"" DIA 150MM",MATERIAL,00090/PMB/SPE/ACI/08/19,ZSBI-INV/19/VII/1583,23-Aug-19,"1,850,000",100%,"1,850,000","185,000",,"2,035,000",INV 23/08/2019,LUNAS BCA 03/10/2019,,
338,ANUGERAH DWI PRATAMA,"CHAIN GRATE 2 HOLE T,24 (CURVE)",MATERIAL,128/ADP-PO/8/2019,ZSBI-INV/19/VIII/1584,26-Aug-19,"9,500,000",100%,"9,500,000","950,000",,"10,450,000",INV 24/8/2019,LUNAS BCA 08/10/2019,,
339,ELANG PERDANA TYRE INDUSTRY,GENERAL SERVICE ADJUSTING CHAIN GRATE,MATERIAL & JASA,19/08/PO/05592,ZSBI-INV/19/VII/1585,26-Aug-19,"7,410,000",100%,"7,410,000","741,000",,"8,151,000",INV 26/08/2019,LUNAS BCA 03/10/2019,,
340,ANUGERAH DWI PRATAMA,SHAFT DIA.18X2780MM,MATERIAL,126/ADP-PO/8/2019,ZSBI-INV/19/VIII/1586,26-Aug-19,"25,993,000",100%,"25,993,000","2,599,300",,"28,592,300",INV 26/08/2019,LUNAS BCA 08/10/2019,,
341,ANUGERAH DWI PRATAMA,CHAIN GRATE 2 HOLE T18,MATERIAL,132/ADP-PO/8/2019,ZSBI-INV/19/VIII/1587,27-Aug-19,"1,900,000",100%,"1,900,000","190,000",,"2,090,000",INV 27/08/2019,LUNAS BCA 08/10/2019,,
342,POLINDO UTAMA,PEMASANGAN SLUDGE SCREW,JASA,PO/PU/19/07/001674,ZSBI-INV/19/IX/1590,04-Sep-19,"5,500,000",100%,"5,500,000","550,000",,"6,050,000",INV 04/09/2019,LUNAS BCA 09/10/2019,,
343,ANUGERAH DWI PRATAMA,SHAFT DIA.18X15400MM,MATERIAL,139/ADP-PO/9/2019,ZSBI-INV/19/VIII/1591,05-Sep-19,"4,950,000",100%,"4,950,000","495,000",,"5,445,000",INV 05/09/2019,LUNAS BCA 08/10/2019,,
344,ANUGERAH DWI PRATAMA,RANTAI Y POLOS,MATERIAL,137/ADP-PO/9/2019,ZSBI-INV/19/VIII/1593,09-Sep-19,"3,640,000",100%,"3,640,000","364,000",,"4,004,000",INV 09/09/2019,LUNAS BCA 08/10/2019,,
345,ANUGERAH DWI PRATAMA,"CHAIN GRATE 2 HOLE T,24 (CURVE)",MATERIAL,144/ADP-PO/9/2019,ZSBI-INV/19/VIII/1594,09-Sep-19,"570,000",100%,"570,000","57,000",,"627,000",INV 09/09/2019,LUNAS BCA 08/10/2019,,
346,ANUGERAH DWI PRATAMA,SHAFT DIA.18X2000MM & Grate Bar 301,MATERIAL,146/ADP-PO/9/2019,ZSBI-INV/19/VIII/1595,10-Sep-19,"6,685,000",100%,"6,685,000","668,500",,"7,353,500",INV 10/09/2019,LUNAS BCA 08/10/2019,,
347,GREENTECH GLOBAL ENGINEERING,RANTAI Y EKOR,MATERIAL,001/GGE/IX/2019,ZSBI-INV/19/VIII/1596,11-Sep-19,"14,500,000",100%,"14,500,000","1,450,000",,"15,950,000",INV 11/09/2019,LUNAS BCA 16/09/2019,,
348,SEMPANA SARANA TEKNIK,"BLOWDOWN VALVE DN 50 PN 2,5 ; DN 25 PN 2,5 ; DN 50 PN 2,5",MATERIAL,057/IX/SST/19R,ZSBI-INV/19/VIII/1597,11-Sep-19,"159,390,000",15%,"23,908,500","2,390,850",,"26,299,350",INV 11/09/2019,LUNAS BCA 16/09/2019,,
,,,,,ZSBI-INV/19/X/1625,21-Oct-19,,85%,"135,481,500","13,548,150",,"149,029,650",INV 21/10/2019,LUNAS BCA 18/12/2019 & 30/12/2019,,
349,OCEAN ASIA INDUSTRY,GEAR SCRAPPER + AS SPROCKET + RANTAI 13 + UBOLT 14,MATERIAL,OA/PO/2019/000352,ZSBI-INV/19/VIII/1598,13-Sep-19,"11,250,000",100%,"11,250,000",,,"11,250,000",INV 13/09/2019,LUNAS BCA 31/01/2020,,
350,ANGSA DAYA,"FOUR CLAW GRATE BAR 252 , FOUR CLAW GRATE BAR 219 , SAFETY PIN FOR 10P",MATERIAL,TC19090029,ZSBI-INV/19/VIII/1599,15-Sep-19,"4,200,000",100%,"4,200,000","420,000",,"4,620,000",INV 15/09/2019,LUNAS CASH 15/9/2019,,
351,ANUGERAH DWI PRATAMA,RANTAI Y POLOS,MATERIAL,51/ADP-PO/9/2019,ZSBI-INV/19/VIII/1600,16-Sep-19,"1,960,000",100%,"1,960,000","196,000",,"2,156,000",INV 16/09/2019,LUNAS BCA 30/10/2019,,
352,BERKAH EMAS SUMBER TERANG,GRATE BAR P: 364MM,MATERIAL,OPP-1908-00131,ZSBI-INV/19/VIII/1601,16-Sep-19,"82,000,000",100%,"82,000,000", - ,,"82,000,000",INV 16/09/2019,LUNAS BCA 25/11/2019,,
353,RUBICON JAYA ABADI,INTELLIGENT DIGITAL DISPLAY REGULATOR BOILER,MATERIAL,016/RJA/IX/2019,ZSBI-INV/19/VII/1602,18-Sep-19,"4,600,000",100%,"4,600,000","460,000",,"5,060,000",INV 18/09/2019,LUNAS BCA 01/10/2019,,
354,ANUGERAH DWI PRATAMA,GRATE BAR 231 A & B,MATERIAL,155/ADP-PO/9/2019,ZSBI-INV/19/VIII/1603,19-Sep-19,"3,000,000",100%,"3,000,000","300,000",,"3,300,000",INV 19/09/2019,LUNAS BCA 30/10/2019,,
355,ANUGERAH DWI PRATAMA,RANTAI Y POLOS,MATERIAL,156/ADP-PO/9/2019,ZSBI-INV/19/VIII/1604,19-Sep-19,"4,200,000",100%,"4,200,000","420,000",,"4,620,000",INV 19/09/2019,LUNAS BCA 30/10/2019,,
356,ABADI MAKMUR PERKASA,VALVE & SEALING BAR DLL,MATERIAL,ZS.Q_SP/19/VII/1605,ZSBI-INV/19/VIII/1605,21-Oct-19,"68,750,000",100%,"68,750,000","6,875,000",,"75,625,000",INV 21/10/2019,LUNAS BCA 21/10/2019,,
357,JIALE INDONESIA TEXTILE,PRESSURE GAUGE,MATERIAL,00021/ZBI/060919,ZSBI-INV/19/VIII/1606,24-Sep-19,"18,750,000",100%,"18,750,000","1,875,000",,"20,625,000",INV 24/09/2019,LUNAS BCA 25/10/2019,,
358,DUCON TETRABLOK INDONESIA,TRAVEL GAUGE 252,MATERIAL,192000614,ZSBI-INV/19/VIII/1607,25-Sep-19,"5,750,000",100%,"5,750,000","575,000",,"6,325,000",INV 25/09/2019,LUNAS 05/12/2019,,
359,OCEAN ASIA INDUSTRY,LIVING CORE DLL,MATERIAL,OA/PO/2019/000404,ZSBI-INV/19/VIII/1608,25-Sep-19,"23,860,000",100%,"22,060,000",,,"22,060,000",INV 25/09/2019,LUNAS BCA 31/01/2020,,
360,ANUGERAH DWI PRATAMA,Chain Grate 2 Hole T.24,MATERIAL,159/ADP-PO/9/2019,ZSBI-INV/19/VIII/1609,26-Sep-19,"950,000",100%,"950,000","95,000",,"1,045,000",INV 26/09/2019,LUNAS BCA 30/10/2019,,
361,GREENTECH GLOBAL ENGINEERING,SAFETY VALVE DN 40 PN 16,MATERIAL,002/GGE/IX/2019,ZSBI-INV/19/VIII/1610,26-Sep-19,"5,700,000",100%,"5,700,000","570,000",,"6,270,000",INV 26/09/2019,LUNAS BCA 07/10/2019,,
362,BROCO AERATED CONCRETE INDUSTRY,"GRATE BAR , HOLDER KANAN KIRI",MATERIAL,00097/PMB/SPE/ACI/09/19,ZSBI-INV/19/VIII/1611,27-Sep-19,"4,900,000",100%,"4,900,000","490,000",,"5,390,000",INV 27/09/2019,LUNAS BCA 13/11/2019,,
363,BATARA ELOK SEMESTA TERPADU,UNIBODY BALL VALVE DN 50 PN 40,MATERIAL,OPP-1909-00343,ZSBI-INV/19/VIII/1612,30-Sep-19,"2,100,000",100%,"2,100,000", - ,,"2,100,000",INV 30/09/2019,LUNAS BCA 30/10/2019,,
364,BROCO AERATED CONCRETE INDUSTRY,ROLLER KECIL U/ RANTAI D18,MATERIAL,00023/PMB/SPE/ACI/10/19,ZSBI-INV/19/X/1613,04-Oct-19,"13,300,000",100%,"13,300,000","1,330,000",,"14,630,000",INV 04/10/2019,LUNAS BCA 18/11/2019,,
365,BROCO AERATED CONCRETE INDUSTRY,RANTAI D18,MATERIAL,00095/PMB/SPE/ACI/09/19,ZSBI-INV/19/X/1614,04-Oct-19,"26,250,000",100%,"26,250,000","2,625,000",,"28,875,000",INV 04/10/2019,LUNAS BCA 22/11/2019,,
366,SANDATEX WENPINDO,SERVICE BOILER CHAIN GRATE & REFACTORIES,JASA,ZS.Q_SP/19/X/487 R1,ZSBI-INV/19/X/1615,08-Oct-19,"53,500,000",30%,"16,050,000","1,605,000",,"17,655,000",INV 08/10/2019,LUNAS BCA 08/10/2019,,
,,,,,ZSBI-INV/19/X/1623,08-Oct-19,,70%,"37,450,000","3,745,000",,"41,195,000",INV 17/10/2019,LUNAS BCA 01/11/2019,,
367,COTTONINDO ARIESTA,"LONG AS , T24 LENGKUNG , PIN CODE, RING PLAT",MATERIAL,19/NS/10/007,ZSBI-INV/19/X/1616,08-Oct-19,"23,600,000",100%,"23,600,000","2,360,000",,"25,960,000",INV 08/10/2019,LUNAS BCA 06/12/2019,,
369,ELANG PERDANA TYRE INDUSTRY,"SIGHT GLASS 49X-2,5 (COLOR)",MATERIAL,19/10/PO/06723,ZSBI-INV/19/X/1618,10-Oct-19,"4,230,000",100%,"4,230,000","423,000",,"4,653,000",INV 10/10/2019,LUNAS BCA 1/11/2019,,
370,ANUGERAH DWI PRATAMA,RANTAI Y TENGAH 64 BESAR,MATERIAL,167/ADP-PO/X/2019,ZSBI-INV/19/X/1619,10-Oct-19,"7,125,000",100%,"7,125,000","712,500",,"7,837,500",INV 10/10/2019,LUNAS BCA 18/11/2019,,
371,ANUGERAH DWI PRATAMA,SHAFT DIA 18MM L 2780MM,MATERIAL,169/ADP-PO/X/2019,ZSBI-INV/19/X/1620,11-Oct-19,"5,355,000",100%,"5,355,000","535,500",,"5,890,500",INV 11/10/2019,LUNAS BCA 18/11/2019,,
372,ANUGERAH DWI PRATAMA,CHAIN GRATE 2 LUBANG T.24 MM,MATERIAL,173/ADP-PO/X/2019,ZSBI-INV/19/X/1621,15-Oct-19,"20,000,000",100%,"20,000,000","2,000,000",,"22,000,000",INV 15/10/2019,LUNAS BCA 18/11/2019,,
373,DUA KUDA INDONESIA,SHAFT L500 & L650,MATERIAL,007/PO/PD/10/2019,ZSBI-INV/19/X/1622,16-Oct-19,"6,213,000",100%,"6,213,000","621,300",,"6,834,300",INV 16/10/2019,LUNAS BCA 22/11/2019,,
374,BANGUN RINGAN PERKASA,"GRATE T-18 ,T-24, Y-45, LONG PIN L=2,200 , 13 RING CHAIN , U-BOLT 14",MATERIAL,BRP-BIP2019/JC-10/0083,ZSBI-INV/19/X/1624,18-Oct-19,"85,519,000",100%,"85,519,000","8,551,900",,"94,070,900",INV 18/10/2019,LUNAS BCA 19/11/2019,,
375,JIALE INDONESIA TEXTILE,LONG SHAFT D18 L2500,MATERIAL,00023/ZBI/121019,ZSBI-INV/19/X/1625,21-Oct-19,"24,860,000",100%,"24,860,000","2,486,000",,"27,346,000",INV 21/10/2019,LUNAS BCA 18/11/2019,,
376,COTTONINDO ARIESTA,"LONG AS, T24, SPEE PIN, RING PLAT",MATERIAL,19/NS/10/024,ZSBI-INV/19/X/1626,21-Oct-19,"18,280,000",100%,"18,280,000","1,828,000",,"20,108,000",INV 21/10/2019,LUNAS BCA 23/12/2019,,
377,JIALE INDONESIA TEXTILE,RING JEPIT CONDE,MATERIAL,00024/ZBI/121019,ZSBI-INV/19/X/1626-A,21-Oct-19,"1,200,000",100%,"1,200,000",,,"1,200,000",INV 21/10/2019,LUNAS BCA 18/11/2019,,
379,COTTONINDO ARIESTA,"LONG AS, T24, SPEE PIN, RING PLAT + RANTAI TENGAH + RANTAI PINGGIR",MATERIAL,19/NS/10/031,ZSBI-INV/19/X/1628,21-Oct-19,"59,600,000",100%,"59,600,000","5,960,000",,"65,560,000",INV 21/10/2019,LUNAS BCA 20/12/2019,,
380,BANGUN RINGAN PERKASA,GRATE BAR T-24,MATERIAL,BRP-BIP2019/JC-10/0084,ZSBI-INV/19/X/1629,23-Oct-19,"13,680,000",100%,"13,680,000","1,368,000",,"15,048,000",INV 23/10/2019,LUNAS 04/12/2019,,
381,ANUGERAH DWI PRATAMA,CHAIN TREVELLING GRATE 6MM,MATERIAL,178/ADP-PO/X/2019,ZSBI-INV/19/X/1630,23-Oct-19,"4,320,000",100%,"5,184,000","518,400",,"5,702,400",INV 23/10/2019,LUNAS BCA 09/12/2019,,
382,ELANG PERDANA TYRE INDUSTRY,SERVICE BOILER CHUTE FABRICATION,JASA,19/10/PO/07281,ZSBI-INV/19/X/1631,24-Oct-19,"32,500,000",30%,"9,750,000","975,000",,"10,725,000",INV 24/10/2019,LUNAS BCA 15/11/2019,,
,,,,,ZSBI-INV/19/XI/1646,05-Nov-19,,70%,"22,750,000","2,275,000",,"25,025,000",INV 05/11/2019,LUNAS BCA 23/12/2019,,
383,NOBEL INDUSTRIES UNIT BANJARAN,"LIVING CORE 231A, 231B, DRIVING GRATE Y64 MIDLE & SIDE 64MM, LONG SHAFT D18 L1680",MATERIAL,PO-19-000064,ZSBI-INV/19/X/1632,25-Oct-19,"171,600,000",10%,"17,160,000","1,716,000",,"18,876,000",INV 25/10/2019,LUNAS BCA 30/10/2019,,
,,,,,ZSBI-INV/19/XI/1662,25-Nov-19,,90%,"154,440,000","15,444,000",,"169,884,000",INV 25/11/2019,,,
384,BANGUN RINGAN PERKASA,GRATE BAR T-24,MATERIAL,BRP-BIP2019/JC-10/0085,ZSBI-INV/19/X/1633,28-Oct-19,"11,400,000",100%,"11,400,000","1,140,000",,"12,540,000",INV 28/10/2019,LUNAS BCA 06/12/2019,,
386,ANUGERAH DWI PRATAMA,GRATE BAR 318,MATERIAL,180/ADP-PO/X/2019,ZSBI-INV/19/X/1635,28-Oct-19,"5,000,000",100%,"5,000,000","500,000",,"5,500,000",INV 28/10/2019,LUNAS BCA 09/12/2019,,
387,ANUGERAH DWI PRATAMA,GEAR BOX GL 16P,MATERIAL,182/ADP-PO/X/2019,ZSBI-INV/19/X/1636,29-Oct-19,"39,000,000",100%,"39,000,000","3,900,000",,"42,900,000",INV 29/10/2019,LUNAS BCA 09/12/2019,,
388,JIALE INDONESIA TEXTILE,LONG SHAFT & RING JEPIT CONDE,MATERIAL,00025/ZBI/281019,ZSBI-INV/19/X/1637,29-Oct-19,"39,090,000",100%,"39,090,000",,,"39,090,000",INV 29/10/2019,LUNAS BCA 27/12/2019,,
389,ANUGERAH DWI PRATAMA,HOLDER 160 KIRI,MATERIAL,184/ADP-PO/X/2019,ZSBI-INV/19/X/1638,30-Oct-19,"3,550,000",100%,"3,550,000","355,000",,"3,905,000",INV 30/10/2019,LUNAS BCA 09/12/2019,,
390,BATARA ELOK SEMESTA TERPADU,U-BOLT D18,MATERIAL,OPP-1910-00445,ZSBI-INV/19/X/1639,30-Oct-19,"4,900,000",100%,"4,900,000",,,"4,900,000",INV 30/10/2019,LUNAS BCA 21/11/2019,,
391,ANUGERAH DWI PRATAMA,CHAIN TRAVELLING GRATE T.6MM,MATERIAL,188/ADP-PO/X/2019,ZSBI-INV/19/XI/1640,01-Nov-19,"58,500,000",100%,"58,500,000","5,850,000",,"64,350,000",INV 01/11/2019,LUNAS BCA 09/12/2019,,
392,DUCON TETRABLOK INDONESIA,AS CHAIN GRATE 1710  & TRAVEL GRATE 252,MATERIAL,192000733,ZSBI-INV/19/XI/1641,04-Nov-19,"9,400,000",100%,"9,400,000","940,000",,"10,340,000",INV 04/11/2019,LUNAS BCA 04/02/2020,,
393,ANUGERAH DWI PRATAMA,GRATE BAR 318,MATERIAL,193/ADP-PO/XI/2019,ZSBI-INV/19/XI/1642,04-Nov-19,"24,500,000",100%,"24,500,000","2,450,000",,"26,950,000",INV 01/11/2019,LUNAS BCA 09/12/2019,,
394,ANUGERAH DWI PRATAMA,RANTAI Y POLOS,MATERIAL,195/ADP-PO/XI/2019,ZSBI-INV/19/XI/1643,04-Nov-19,"3,360,000",100%,"3,360,000","336,000",,"3,696,000",INV 04/11/2019,LUNAS BCA 09/12/2019,,
395,ELANG PERDANA TYRE INDUSTRY,"Y64, LIVING CORE 235, 245 , LONG SHAFT 2780",MATERIAL,19/10/PO/07278,ZSBI-INV/19/XI/1644,05-Nov-19,"430,755,000",30%,"129,226,500","12,922,650",,"142,149,150",INV 05/11/2019,LUNAS BCA 15/11/2019,,
,,,,,ZSBI-INV/19/XI/1665,29-Nov-19,,70%,"301,528,500","30,152,850",,"331,681,350",INV 29/11/2019,LUNAS BCA 09/01/2020,,
396,BATARA ELOK SEMESTA TERPADU,POMPA GARAM,MATERIAL,OPP-1910-00528,ZSBI-INV/19/XI/1645,05-Nov-19,"12,750,000",100%,"12,750,000", - ,,"12,750,000",INV 05/11/2019,LUNAS BCA 06/12/2019,,
397,CV. BERKAH ABADI ENGINEERING,SIGHT GLASS C TO C 4350,MATERIAL,-,ZSBI-INV/19/XI/1647,06-Nov-19,"3,400,000",100%,"3,400,000","340,000",,"3,740,000",INV 06/11/2019,LUNAS POTONG TAGIHAN,,
398,DUCON TETRABLOK INDONESIA,TRAVEL GRATE 252,MATERIAL,192000743,ZSBI-INV/19/XI/1648,06-Nov-19,"5,750,000",100%,"5,750,000","575,000",,"6,325,000",INV 06/11/2019,LUNAS BCA 11/02/2020,,
399,ANUGERAH DWI PRATAMA,RANTAI Y POLOS,MATERIAL,197/ADP-PO/XI/2019,ZSBI-INV/19/XI/1649,07-Nov-19,"2,800,000",100%,"2,800,000","280,000",,"3,080,000",INV 07/11/2019,LUNAS BCA 18/12/2019,,
400,PACIFIC EASTERN COCONUT UTAMA,"ELBOW PENDEK & PANJANG ECONOMIZER , PIPA & Y ECONOMIZER",MATERIAL,HOPO1911007,ZSBI-INV/19/XI/1650,07-Nov-19,"107,560,000",30%,"32,268,000","3,226,800",,"35,494,800",INV 07/11/2019,LUNAS BCA 27/01/2020,,
,,,,,ZSBI-INV/20/III/1688,16-Mar-20,,70%,"75,292,000","7,529,200",,"82,821,200",INV 30/12/2019,LUNAS BCA 18/03/2020,,
401,COTTONINDO ARIESTA,CEROBONG MESIN BOILER,MATERIAL,19/NS/10/040,ZSBI-INV/19/X/1651,07-Nov-19,"22,000,000",100%,"22,000,000","2,200,000",,"24,200,000",INV 07/11/2019,LUNAS BCA 26/12/2019,,
402,DUCON TETRABLOK INDONESIA,AS CHAIN GRATE DIA 1710 & TRAVEL GRATE 252,MATERIAL,192000751,ZSBI-INV/19/XI/1652,08-Nov-19,"11,750,000",100%,"11,750,000","1,175,000",,"12,925,000",INV 08/11/2019,LUNAS BCA 28/12/2019,,
403,PT. MITRA KARYA TEXINDO,NOZZLE WATER MEMBRANE 316L,MATERIAL,-,ZSBI-INV/19/XI/1653,08-Nov-19,"1,963,636",100%,"1,963,636","196,364",,"2,160,000",INV 08/11/2019,LUNAS BCA 08/11/2019,,
404,BATARA ELOK SEMESTA TERPADU,BALL VALVE DN 50,MATERIAL,OPP-1911-00097,ZSBI-INV/19/XI/1654,11-Nov-19,"2,515,000",100%,"2,515,000",,,"2,515,000",INV 11/11/2019,LUNAS BCA 03/12/2019,,
405,ANUGERAH DWI PRATAMA,CHAIN GRATE T18,MATERIAL,200/ADP-PO/XI/2019,ZSBI-INV/19/XI/1655,11-Nov-19,"380,000",100%,"380,000","38,000",,"418,000",INV 11/11/2019,LUNAS BCA 18/12/2019,,
406,DUCON TETRABLOK INDONESIA,AS CHAIN GRATE DIA 1710 & TRAVEL GRATE 252,MATERIAL,192000774,ZSBI-INV/19/XI/1656,15-Nov-19,"11,750,000",100%,"11,750,000","1,175,000",,"12,925,000",INV 15/11/2019,LUNAS BCA 24/03/2020,,
407,MANDALA UTAMA (AGUS),CHAIN Y45 & CHAIN T24,MATERIAL,70/MU-TECHNIK/191119,ZSBI-INV/19/XI/1657,20-Nov-19,"25,750,000",100%,"25,750,000","2,575,000",,"28,325,000",INV 20/11/2019,LUNAS BCA 20/11/2019,,
408,ELANG PERDANA TYRE INDUSTRY,SERVICE CHAIN GRATE,MATERIAL,19/11/PO/07769,ZSBI-INV/19/XI/1658,20-Nov-19,"38,000,000",100%,"38,000,000","3,800,000",,"41,800,000",INV 20/11/2019,LUNAS 03/02/2020,,
409,MANDALA UTAMA (AGUS),CHAIN T24,MATERIAL,71/MU-TECHNIK/221119,ZSBI-INV/19/XI/1660,22-Nov-19,"4,955,000",100%,"4,955,000","495,500",,"5,450,500",INV 22/11/2019,LUNAS BCA 22/11/2019,,
410,ANUGERAH DWI PRATAMA,SHAFT DIA 18 L2200,MATERIAL,207/ADP-PO/XI/2019,ZSBI-INV/19/XI/1661,22-Nov-19,"1,815,000",100%,"1,815,000","181,500",,"1,996,500",INV 22/11/2019,LUNAS BCA 18/12/2019,,
411,MANDALA UTAMA (AGUS),GRATE BAR 311+ HOLDER KANAN +HOLDER KIRI,MATERIAL,72/MU-TECHNIK/251119,ZSBI-INV/19/XI/1663,25-Nov-19,"31,250,000",100%,"31,250,000","3,125,000",,"34,375,000",INV 22/11/2019,LUNAS BCA 25/11/2019,,
412,ABADI MAKMUR PERKASA,MULTI TUBE & ID FAN ONE SET,MATERIAL,695/AMP/XI/1664,ZSBI-INV/19/XI/1664,27-Nov-19,"81,450,000",30%,"24,435,000","2,443,500",,"26,878,500",INV 27/11/2019,"LUNAS 03/12/2019 BAYAR 1,878,500 21/01/2020",,
,,,,,ZSBI-INV/19/XII/1690,30-Dec-19,,70%,"57,015,000","5,701,500",,"62,716,500",INV 30/12/2019,LUNAS BCA 09/01/2020,,
413,MANDALA UTAMA (AGUS),CHAIN T24,MATERIAL,73/MU-TECHNIK/301119,ZSBI-INV/19/XII/1665,02-Dec-19,"6,150,000",100%,"6,150,000","615,000",,"6,765,000",INV 02/12/2019,LUNAS BCA 02/12/2019,,
414,DUCON TETRABLOK INDONESIA,Y GRATE 47MM,MATERIAL,192000820,ZSBI-INV/19/XI/1666,03-Dec-19,"3,900,000",100%,"3,900,000","390,000",,"4,290,000",INV 03/12/2019,LUNAS BCA 31/03/2020,,
415,MANDALA UTAMA (AGUS),RANTAI 13 MATA,MATERIAL,74/MU-TECHNIK/041219,ZSBI-INV/19/XII/1667,05-Dec-19,"3,750,000",100%,"3,750,000","375,000",,"4,125,000",INV 05/12/2019,LUNAS BCA 05/12/2019,,
416,ANUGERAH DWI PRATAMA,GEAR BOX GL 16P,MATERIAL,212/ADP-PO/XII/2019,ZSBI-INV/19/XII/1668,05-Dec-19,"38,000,000",100%,"38,000,000","3,800,000",,"41,800,000",INV 05/12/2019,LUNAS BCA 07/01/2020,,
417,JIALE INDONESIA TEXTILE,CAT SILVER,MATERIAL,00026/ZBI/2019/061219,ZSBI-INV/19/XII/1669,07-Dec-19,"25,000,000",100%,"25,000,000","2,500,000",,"27,500,000",INV 07/12/2019,LUNAS BCA 20/12/2019,,
419,ELANG PERDANA TYRE INDUSTRY,GEAR SPROCKET & SERVICE,MATERIAL & JASA,19/11/PO/07769,ZSBI-INV/19/XII/1671,12-Dec-19,"20,900,000",100%,"20,900,000","2,090,000",,"22,990,000",INV 12/12/2019,LUNAS BCA 10/02/2020,,
420,ANUGERAH DWI PRATAMA,U-BOLT 14 + SHAFT DIA 18 X 2000,MATERIAL,215/ADP-PO/XII/2019,ZSBI-INV/19/XII/1672,12-Dec-19,"10,040,000",100%,"10,040,000","1,004,000",,"11,044,000",INV 12/12/2019,LUNAS BCA 21/01/20,,
421,ELANG PERDANA TYRE INDUSTRY,"SIGHT GLASS 49X-2,5 (COLOR)",MATERIAL,19/12/PO/08455,ZSBI-INV/19/XII/1673,12-Dec-19,"4,230,000",100%,"4,230,000","423,000",,"4,653,000",INV 12/12/2019,LUNAS BCA 25/2/2020,,
423,ANUGERAH DWI PRATAMA,U-BOLT 14,MATERIAL,217/ADP-PO/XII/2019,ZSBI-INV/19/XII/1675,16-Dec-19,"1,150,000",100%,"1,150,000","115,000",,"1,265,000",INV 16/12/2019,LUNAS BCA 21/01/20,,
424,MANDALA UTAMA (AGUS),GEAR SPROCKET 6 GIGI D18 + U-BOLT,MATERIAL,75/MU-TECHNIK/161219,ZSBI-INV/19/XII/1676,16-Dec-19,"3,300,000",100%,"3,300,000","330,000",,"3,630,000",INV 16/12/2019,LUNAS BCA 23/12/2019,,
